pre,suff,count
poop,lord,601
poop,clown,2
poop,slut,36
poop,pirate,0
poop,bro,6
poop,nazi,1
poop,whore,5
poop,boy,143
poop,boi,31
poop,burglar,0
poop,bandit,26
poop,bitch,4
poop,waffle,12
poop,burger,26
poop,cake,113
poop,nugget,163
poop,rag,16
poop,nozzle,8
poop,stain,632
poop,wagon,22
poop,weed,10
poop,hat,23
poop,canoe,29
poop,boat,5
poop,stick,351
poop,socket,28
poop,trumpet,4
poop,mitten,2
poop,twat,4
poop,dick,2008
poop,cunt,33
poop,ass,153
poop,cock,384
poop,balls,461
poop,face,2398
poop,head,3355
poop,nuts,126
poop,brain,98
poop,brains,11
poop,knuckle,19
poop,mouth,290
poop,nose,264
poop,skull,8
poop,tard,92
poop,oid,29
poop,ster,584
poop,azoid,2
poop,let,131
poop,fuck,70
poop,shit,312
poop,fart,332
poop,wit,4
poop,lib,1
poop,breath,29
poo,wad,3
poo,bag,149
poo,bucket,20
poo,sack,11
poo,ball,51
poo,splash,1
poo,pot,8
poo,pile,25
poo,weasel,3
poo,monkey,11
poo,dog,27
poo,rat,24
poo,bird,6
poo,goblin,4
poo,puffin,0
poo,licker,14
poo,muncher,3
poo,fucker,18
poo,sucker,3
poo,lord,26
poo,clown,0
poo,slut,2
poo,pirate,2
poo,bro,8
poo,nazi,0
poo,whore,0
poo,boy,114
poo,boi,8
poo,burglar,0
poo,bandit,6
poo,bitch,4
poo,waffle,1
poo,burger,15
poo,cake,11
poo,nugget,10
poo,rag,4
poo,nozzle,0
poo,stain,94
poo,wagon,2
poo,weed,2
poo,hat,12
poo,canoe,4
poo,boat,1
poo,stick,39
poo,socket,4
poo,trumpet,0
poo,mitten,0
poo,twat,1
poo,dick,66
poo,cunt,13
poo,ass,29
poo,cock,61
poo,balls,80
poo,face,549
poo,head,1066
poo,nuts,22
poo,brain,460
poo,brains,46
poo,knuckle,23
poo,mouth,6
poo,nose,2
poo,skull,0
poo,tard,26
poo,oid,0
poo,ster,179
poo,azoid,0
poo,let,33
poo,fuck,24
poo,shit,121
poo,fart,75
poo,wit,1
poo,lib,0
poo,breath,21
turd,wad,49
turd,bag,453
turd,bucket,738
turd,sack,100
turd,ball,1070
turd,splash,7
turd,pot,5
turd,pile,978
turd,weasel,33
turd,monkey,105
turd,dog,19
turd,rat,1
turd,bird,97
turd,goblin,92
turd,puffin,0
turd,licker,89
turd,muncher,163
turd,fucker,61
turd,sucker,42
turd,lord,147
turd,clown,5
turd,slut,0
turd,pirate,1
turd,bro,27
turd,nazi,0
turd,whore,1
turd,boy,191
turd,boi,326
turd,burglar,1196
turd,bandit,2
turd,bitch,40
turd,waffle,218
turd,burger,1666
turd,cake,86
turd,nugget,626
turd,rag,7
turd,nozzle,29
turd,stain,140
turd,wagon,71
turd,weed,0
turd,hat,74
turd,canoe,4
turd,boat,14
turd,stick,35
turd,socket,0
turd,trumpet,3
turd,mitten,0
turd,twat,6
turd,dick,7
turd,cunt,17
turd,ass,63
turd,cock,30
turd,balls,304
turd,face,625
turd,head,180
turd,nuts,7
turd,brain,173
turd,brains,53
turd,knuckle,55
turd,mouth,19
turd,nose,5
turd,skull,3
turd,tard,9
turd,oid,109
turd,ster,35
turd,azoid,3
turd,let,673
turd,fuck,71
turd,shit,67
turd,fart,28
turd,wit,6
turd,lib,2
turd,breath,42
butt,wad,501
butt,bag,161
butt,bucket,23
butt,sack,737
butt,ball,826
butt,splash,79
butt,pot,7
butt,pile,11
butt,weasel,54
butt,monkey,1403
butt,dog,168
butt,rat,9
butt,bird,12
butt,goblin,37
butt,puffin,0
butt,licker,9815
butt,muncher,700
butt,fucker,2248
butt,sucker,116
butt,lord,542
butt,clown,116
butt,slut,1521
butt,pirate,688
butt,bro,28
butt,nazi,1
butt,whore,57
butt,boy,1684
butt,boi,208
butt,burglar,38
butt,bandit,34
butt,bitch,19
butt,waffle,36
butt,burger,52
butt,cake,237
butt,nugget,835
butt,rag,34
butt,nozzle,51
butt,stain,95
butt,wagon,36
butt,weed,89
butt,hat,802
butt,canoe,5
butt,boat,16
butt,stick,100
butt,socket,5
butt,trumpet,73
butt,mitten,0
butt,twat,1
butt,dick,846
butt,cunt,108
butt,ass,1100
butt,cock,118
butt,balls,148
butt,face,17062
butt,head,112886.6
butt,nuts,142
butt,brain,87
butt,brains,16
butt,knuckle,87
butt,mouth,139
butt,nose,104
butt,skull,8
butt,tard,17
butt,oid,3
butt,ster,54
butt,azoid,0
butt,let,1045
butt,fuck,50818.450000000004
butt,shit,634
butt,fart,835
butt,wit,3
butt,lib,1
butt,breath,79
ass,wad,2391
ass,bag,6883
ass,bucket,498
ass,sack,11
ass,ball,235
ass,splash,2
ass,pot,19
ass,pile,111
ass,weasel,79
ass,monkey,744
ass,dog,118
ass,rat,132
ass,bird,33
ass,goblin,504
ass,puffin,1
ass,licker,2844
ass,muncher,576
ass,fucker,1012
ass,sucker,66
ass,lord,752
ass,clown,44219.600000000006
ass,slut,16
ass,pirate,303
ass,bro,258
ass,nazi,10
ass,whore,339
ass,boy,202
ass,boi,71
ass,burglar,42
ass,bandit,279
ass,bitch,286
ass,waffle,289
ass,burger,2588
ass,cake,263
ass,nugget,473
ass,rag,205
ass,nozzle,93
ass,stain,14
ass,wagon,636
ass,weed,162
ass,hat,618185.625
ass,canoe,71
ass,boat,40
ass,stick,15
ass,socket,0
ass,trumpet,94
ass,mitten,1
ass,twat,569
ass,dick,968
ass,cunt,1224
ass,ass,3200
ass,cock,808
ass,balls,711
ass,face,12964
ass,head,2351
ass,nuts,180
ass,brain,181
ass,brains,51
ass,knuckle,33
ass,mouth,460
ass,nose,69
ass,skull,0
ass,tard,1721
ass,oid,3
ass,ster,2
ass,azoid,1
ass,let,34
ass,fuck,13918
ass,shit,268
ass,fart,641
ass,wit,125
ass,lib,7
ass,breath,128
bum,wad,168
bum,bag,2843
bum,bucket,3
bum,sack,37
bum,ball,37
bum,splash,0
bum,pot,3
bum,pile,0
bum,weasel,6
bum,monkey,0
bum,dog,60
bum,rat,22
bum,bird,1
bum,goblin,3
bum,puffin,0
bum,licker,170
bum,muncher,2
bum,fucker,172
bum,sucker,119
bum,lord,55
bum,clown,8
bum,slut,17
bum,pirate,6
bum,bro,41
bum,nazi,0
bum,whore,2
bum,boy,870
bum,boi,32
bum,burglar,4
bum,bandit,22
bum,bitch,18
bum,waffle,2
bum,burger,43
bum,cake,19
bum,nugget,26
bum,rag,56
bum,nozzle,3
bum,stain,11
bum,wagon,3
bum,weed,5
bum,hat,45
bum,canoe,0
bum,boat,193
bum,stick,25
bum,socket,1
bum,trumpet,23
bum,mitten,0
bum,twat,6
bum,dick,29
bum,cunt,8
bum,ass,3432
bum,cock,11
bum,balls,7
bum,face,404
bum,head,209
bum,nuts,45
bum,brain,5
bum,brains,1
bum,knuckle,9
bum,mouth,0
bum,nose,10
bum,skull,3
bum,tard,74
bum,oid,0
bum,ster,204
bum,azoid,0
bum,let,8
bum,fuck,98471.40000000001
bum,shit,130
bum,fart,93
bum,wit,7
bum,lib,0
bum,breath,4
dick,wad,62689.075000000004
dick,bag,67607.77500000001
dick,bucket,146
dick,sack,221
dick,ball,358
dick,splash,638
dick,pot,32
dick,pile,29
dick,weasel,1193
dick,monkey,105
dick,dog,109
dick,rat,34
dick,bird,346
dick,goblin,51
dick,puffin,2
dick,licker,1175
dick,muncher,305
dick,fucker,257
dick,sucker,4946
dick,lord,864
dick,clown,66
dick,slut,40
dick,pirate,4
dick,bro,106
dick,nazi,5
dick,whore,28
dick,boy,388
dick,boi,88
dick,burglar,9
dick,bandit,13
dick,bitch,183
dick,waffle,1576
dick,burger,261
dick,cake,82
dick,nugget,695
dick,rag,125
dick,nozzle,510
dick,stain,747
dick,wagon,460
dick,weed,25307
